baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
GLM5_issue_b20	GLM5_BM25_filelocal_b20	20	method	500	0.529893573093573	0.6922465312465312	0.16235295815295825	0.1331759018759019	0.1930443722943723	114	0	386	NA
GLM5_issue_b20	GLM5_BM25_filelocal_b20	20	mrr	500	0.5123071428571428	0.5437262324191117	0.031419089561968816	0.022968473717544916	0.04108800932469661	78	0	422	NA
GLM5_issue_b20	GLM5_BM25_filelocal_b20	20	hit	500	0.624	0.78	0.15600000000000003	0.124	0.188	78	0	422	6.617444900424222e-24
GLM5_issue_b20	GLM5_BM25_KG_RRF_b20	20	file	500	0.874	0.946	0.07199999999999995	0.05	0.096	37	1	462	2.837623469531536e-10
GLM5_issue_b20	GLM5_BM25_KG_RRF_b20	20	method	500	0.529893573093573	0.7086232267732268	0.17872965367965377	0.14886385281385278	0.20931666666666662	121	0	379	NA
GLM5_issue_b20	GLM5_BM25_KG_RRF_b20	20	mrr	500	0.5123071428571428	0.5469265406506119	0.03461939779346901	0.025332912581054988	0.045094285040724665	83	0	417	NA
GLM5_issue_b20	GLM5_BM25_KG_RRF_b20	20	hit	500	0.624	0.79	0.16600000000000004	0.134	0.198	83	0	417	2.0679515313825692e-25
GLM5_KG_filelocal_b20	GLM5_BM25_filelocal_b20	20	file	500	0.932	0.942	0.009999999999999898	-0.006	0.028	12	7	481	0.359283447265625
GLM5_KG_filelocal_b20	GLM5_BM25_filelocal_b20	20	method	500	0.6551932484182484	0.6922465312465312	0.037053282828282796	0.010183441558441562	0.06442582972582972	56	28	416	NA
GLM5_KG_filelocal_b20	GLM5_BM25_filelocal_b20	20	mrr	500	0.5366908117596197	0.5437262324191117	0.00703542065949192	-0.0021267955470741858	0.015651663360719086	60	23	417	NA
GLM5_KG_filelocal_b20	GLM5_BM25_filelocal_b20	20	hit	500	0.74	0.78	0.040000000000000036	0.01	0.07	39	19	442	0.011928139715763175
GLM5_BM25_filelocal_b20	GLM5_BM25_KG_RRF_b20	20	file	500	0.942	0.946	0.0040000000000000036	-0.006	0.016	5	3	492	0.7265625
GLM5_BM25_filelocal_b20	GLM5_BM25_KG_RRF_b20	20	method	500	0.6922465312465312	0.7086232267732268	0.016376695526695517	-0.0020134920634920644	0.035951010101010115	27	17	456	NA
GLM5_BM25_filelocal_b20	GLM5_BM25_KG_RRF_b20	20	mrr	500	0.5437262324191117	0.5469265406506119	0.003200308231500193	-0.0006234829755727589	0.007329715837997573	33	24	443	NA
GLM5_BM25_filelocal_b20	GLM5_BM25_KG_RRF_b20	20	hit	500	0.78	0.79	0.010000000000000009	-0.01	0.032	17	12	471	0.45825831964612007
GLM5_issue_b40	GLM5_KG_filelocal_b40	40	file	500	0.874	0.938	0.06399999999999995	0.044	0.086	32	0	468	4.656612873077393e-10
GLM5_issue_b40	GLM5_KG_filelocal_b40	40	method	500	0.529893573093573	0.6921611055611054	0.16226753246753245	0.13311482683982684	0.19267640692640697	108	0	392	NA
GLM5_issue_b40	GLM5_KG_filelocal_b40	40	mrr	500	0.5123071428571428	0.5376207616287553	0.025313618771612423	0.01726750189940807	0.03480152671306204	72	0	428	NA
GLM5_issue_b40	GLM5_KG_filelocal_b40	40	hit	500	0.624	0.768	0.14400000000000002	0.114	0.176	72	0	428	4.235164736271502e-22
GLM5_issue_b40	GLM5_BM25_filelocal_b40	40	file	500	0.874	0.956	0.08199999999999996	0.058	0.108	41	0	459	9.094947017729282e-13
GLM5_issue_b40	GLM5_BM25_filelocal_b40	40	method	500	0.529893573093573	0.7357815462315466	0.20588797313797358	0.173235902985903	0.2396627206127206	139	0	361	NA
GLM5_issue_b40	GLM5_BM25_filelocal_b40	40	mrr	500	0.5123071428571428	0.544900575083588	0.032593432226445174	0.024156089843619197	0.042229226090013526	96	0	404	NA
GLM5_issue_b40	GLM5_BM25_filelocal_b40	40	hit	500	0.624	0.816	0.19199999999999995	0.158	0.226	96	0	404	2.524354896707238e-29
GLM5_issue_b40	GLM5_BM25_KG_RRF_b40	40	file	500	0.874	0.958	0.08399999999999996	0.06	0.11	42	0	458	4.547473508864641e-13
GLM5_issue_b40	GLM5_BM25_KG_RRF_b40	40	method	500	0.529893573093573	0.7597587246087248	0.22986515151515186	0.1965274891774892	0.2641093073593073	151	0	349	NA
GLM5_issue_b40	GLM5_BM25_KG_RRF_b40	40	mrr	500	0.5123071428571428	0.548583610976905	0.03627646811976215	0.026960272457439205	0.04667880291233221	107	0	393	NA
GLM5_issue_b40	GLM5_BM25_KG_RRF_b40	40	hit	500	0.624	0.838	0.21399999999999997	0.178	0.25	107	0	393	1.232595164407831e-32
GLM5_KG_filelocal_b40	GLM5_BM25_filelocal_b40	40	file	500	0.938	0.956	0.018000000000000016	0.0	0.036	16	7	477	0.0931396484375
GLM5_KG_filelocal_b40	GLM5_BM25_filelocal_b40	40	method	500	0.6921611055611054	0.7357815462315466	0.04362044067044113	0.014068456543456547	0.07338782883782884	63	34	403	NA
GLM5_KG_filelocal_b40	GLM5_BM25_filelocal_b40	40	mrr	500	0.5376207616287553	0.544900575083588	0.007279813454832751	-0.001635783027865995	0.01578077327006518	73	28	399	NA
GLM5_KG_filelocal_b40	GLM5_BM25_filelocal_b40	40	hit	500	0.768	0.816	0.04799999999999993	0.018	0.078	43	19	438	0.0031560602510210594
GLM5_BM25_filelocal_b40	GLM5_BM25_KG_RRF_b40	40	file	500	0.956	0.958	0.0020000000000000018	-0.01	0.014	6	5	489	1.0
GLM5_BM25_filelocal_b40	GLM5_BM25_KG_RRF_b40	40	method	500	0.7357815462315466	0.7597587246087248	0.023977178377178276	0.006375641025641027	0.04194262404262405	27	12	461	NA
GLM5_BM25_filelocal_b40	GLM5_BM25_KG_RRF_b40	40	mrr	500	0.544900575083588	0.548583610976905	0.003683035893316977	0.00010479099198077041	0.007581460587619444	46	29	425	NA
GLM5_BM25_filelocal_b40	GLM5_BM25_KG_RRF_b40	40	hit	500	0.816	0.838	0.02200000000000002	0.004	0.04	17	6	477	0.03468966484069824
